S. No.,City,Gender,Marital Status,Age,Education,Role,Number of investors in family,Household Income,Percentage of Investment,Source of Awareness about Investment,Knowledge level about different investment product,Knowledge level about sharemarket,Knowledge about Govt. Schemes,Investment Influencer,Investment Experience,Risk Level,Return Earned,Reason for Investment
144,Memphis,Women,Never Married,Children,Teritary,Top Executives,2,US$ 2736 to US$ 8205,21% to 25%,Magazine,6,2,3,Workers Reference,4 Years to 6 Years,Medium,5 to 6,Tax
145,San Francisco,Men,Never Married,Mature Working,Teritary,Advertising and Promotion Executive,3,US$ 19146 to US$ 24615,Above 26%,Family,4,2,3,Friends Reference,4 Years to 6 Years,Medium,5 to 6,Status
146,San Francisco,Women,Married,Early Working,Middle,Training and Development Executive,3,Above US$ 30086,Above 26%,Magazine,2,4,3,Intermediaries,1 Year to 3 Years,Low,10 to 12 ,Others
147,Houston,Women,Never Married,Prime Working,Uneducated,Top Executives,1,US$ 2735,Upto 5%,Television,5,4,4,Social Media,1 Year to 3 Years,Low,7 to 9,Return
148,Houston,Men,Married,Mature Working,Teritary,Training and Development Executive,4,US$ 24616 to US$ 30085,Upto 5%,Others,6,7,5,Others,7 Years to 9 Years,Medium,10 to 12 ,Status
149,Houston,Women,Never Married,Mature Working,Uneducated,Training and Development Executive,4,US$ 19146 to US$ 24615,11% to 15%,Others,8,7,5,Workers Reference,7 Years to 9 Years,High,1 to 4,Fun and Exitement
150,Seattle,Men,Never Married,Early Working,Primary,Computer and Information System Executive,2,US$ 2735,16% to 20%,Others,1,2,6,Workers Reference,Less Than 1 Year,Low,10 to 12 ,Inflation
151,Houston,Men,Married,Elderly,Middle,Marketing and Sales Executive,3,US$ 24616 to US$ 30085,Don't Want to Reveal,Workers,10,5,3,Social Media,4 Years to 6 Years,High,Negative Return,Tax
152,San Francisco,Women,Married,Early Working,Middle,Training and Development Executive,1,US$ 13676 to US$ 19145,Upto 5%,Television,8,7,5,Workers Reference,7 Years to 9 Years,Medium,More than 13,Fun and Exitement
153,New York,Women,Married,Prime Working,Secondary,Top Executives,5,US$ 8206 to US$ 13675,16% to 20%,Workers,10,10,3,Social Media,7 Years to 9 Years,Medium,10 to 12 ,Others
154,Memphis,Women,Never Married,Children,Primary,Top Executives,4,US$ 24616 to US$ 30085,21% to 25%,Magazine,1,4,3,Institutions,Above 9 Years,Low,10 to 12 ,Return
155,San Francisco,Men,Never Married,Mature Working,Uneducated,Marketing and Sales Executive,5,US$ 19146 to US$ 24615,Upto 5%,Family,1,7,6,Others,4 Years to 6 Years,Low,7 to 9,Others
156,Seattle,Men,Never Married,Children,Uneducated,Marketing and Sales Executive,5,Above US$ 30086,11% to 15%,Television,5,1,4,Intermediaries,Above 9 Years,High,Negative Return,Return
157,Memphis,Women,Married,Prime Working,Teritary,Computer and Information System Executive,3,US$ 13676 to US$ 19145,6% to 10%,Workers,8,10,6,Social Media,1 Year to 3 Years,Low,More than 13,Others
158,New York,Women,Married,Prime Working,Middle,Advertising and Promotion Executive,4,US$ 8206 to US$ 13675,Don't Want to Reveal,Television,6,3,3,Institutions,Above 9 Years,Medium,1 to 4,Fun and Exitement
159,Seattle,Women,Married,Mature Working,Teritary,Training and Development Executive,3,US$ 13676 to US$ 19145,Above 26%,Flash Board,4,6,1,Family Reference,7 Years to 9 Years,Low,7 to 9,Tax
160,Memphis,Women,Never Married,Mature Working,Middle,Marketing and Sales Executive,2,US$ 19146 to US$ 24615,6% to 10%,Television,6,6,6,Family Reference,1 Year to 3 Years,High,More than 13,Inflation
161,San Francisco,Men,Married,Mature Working,Uneducated,Top Executives,1,US$ 24616 to US$ 30085,Upto 5%,Magazine,3,9,1,Others,7 Years to 9 Years,High,1 to 4,Fun and Exitement
162,New York,Women,Married,Early Working,Teritary,Training and Development Executive,3,US$ 8206 to US$ 13675,Upto 5%,Flash Board,5,5,5,Family Reference,Above 9 Years,Medium,1 to 4,Fun and Exitement
163,Seattle,Men,Married,Mature Working,Uneducated,Computer and Information System Executive,3,US$ 2735,Upto 5%,Friends,10,1,3,Family Reference,1 Year to 3 Years,Medium,More than 13,Inflation
164,Memphis,Women,Married,Children,Secondary,Computer and Information System Executive,2,US$ 2736 to US$ 8205,Upto 5%,Others,6,8,2,Intermediaries,Above 9 Years,Low,1 to 4,Return
165,Memphis,Men,Never Married,Prime Working,Secondary,Marketing and Sales Executive,2,US$ 19146 to US$ 24615,11% to 15%,Friends,8,6,6,Family Reference,1 Year to 3 Years,Medium,7 to 9,Tax
166,Houston,Women,Married,Early Working,Secondary,Marketing and Sales Executive,4,Above US$ 30086,11% to 15%,Others,7,7,3,Friends Reference,Less Than 1 Year,High,5 to 6,Fun and Exitement
167,Houston,Women,Married,Children,Secondary,Top Executives,1,Above US$ 30086,6% to 10%,Family,9,2,1,Intermediaries,1 Year to 3 Years,Medium,5 to 6,Inflation
168,Houston,Men,Never Married,Mature Working,Teritary,Marketing and Sales Executive,4,US$ 2736 to US$ 8205,11% to 15%,Television,8,8,3,Workers Reference,1 Year to 3 Years,High,1 to 4,Status
169,Houston,Men,Married,Prime Working,Teritary,Computer and Information System Executive,2,US$ 8206 to US$ 13675,21% to 25%,Friends,10,10,6,Others,7 Years to 9 Years,Medium,Negative Return,Fun and Exitement
170,Memphis,Women,Married,Mature Working,Uneducated,Marketing and Sales Executive,5,US$ 19146 to US$ 24615,Don't Want to Reveal,Friends,5,7,2,Social Media,4 Years to 6 Years,Medium,5 to 6,Status
171,San Francisco,Men,Married,Mature Working,Primary,Marketing and Sales Executive,3,Above US$ 30086,21% to 25%,Flash Board,1,7,3,Friends Reference,4 Years to 6 Years,High,Negative Return,Fun and Exitement
172,New York,Men,Never Married,Mature Working,Teritary,Top Executives,1,US$ 2735,6% to 10%,Television,4,9,5,Friends Reference,Less Than 1 Year,High,1 to 4,Inflation
173,San Francisco,Women,Married,Mature Working,Primary,Computer and Information System Executive,4,US$ 13676 to US$ 19145,6% to 10%,Magazine,8,2,1,Workers Reference,Less Than 1 Year,High,1 to 4,Fun and Exitement
174,Seattle,Men,Married,Early Working,Teritary,Computer and Information System Executive,2,US$ 2735,Don't Want to Reveal,Workers,6,10,3,Social Media,Above 9 Years,High,5 to 6,Fun and Exitement
175,San Francisco,Women,Married,Mature Working,Secondary,Top Executives,4,Above US$ 30086,Upto 5%,Family,4,7,1,Intermediaries,4 Years to 6 Years,High,10 to 12 ,Tax
176,New York,Men,Married,Mature Working,Secondary,Computer and Information System Executive,1,US$ 2735,21% to 25%,Flash Board,10,4,2,Social Media,1 Year to 3 Years,Low,1 to 4,Status
177,Memphis,Women,Never Married,Mature Working,Secondary,Training and Development Executive,1,US$ 8206 to US$ 13675,21% to 25%,Workers,8,10,5,Others,1 Year to 3 Years,High,More than 13,Status
178,Memphis,Men,Never Married,Children,Uneducated,Advertising and Promotion Executive,4,US$ 2736 to US$ 8205,Above 26%,Television,1,3,2,Social Media,4 Years to 6 Years,High,Negative Return,Return
179,Seattle,Women,Never Married,Prime Working,Secondary,Top Executives,2,US$ 13676 to US$ 19145,Upto 5%,Television,5,8,2,Workers Reference,7 Years to 9 Years,High,10 to 12 ,Return
180,New York,Women,Never Married,Children,Teritary,Advertising and Promotion Executive,4,US$ 2736 to US$ 8205,21% to 25%,Flash Board,6,6,3,Friends Reference,Less Than 1 Year,Medium,7 to 9,Others
181,Houston,Women,Married,Prime Working,Uneducated,Marketing and Sales Executive,2,US$ 13676 to US$ 19145,Don't Want to Reveal,Friends,4,4,5,Social Media,Less Than 1 Year,Low,1 to 4,Inflation
182,Houston,Women,Married,Prime Working,Middle,Training and Development Executive,3,US$ 2736 to US$ 8205,21% to 25%,Workers,2,3,5,Social Media,Less Than 1 Year,Medium,5 to 6,Status
183,Seattle,Women,Married,Prime Working,Uneducated,Marketing and Sales Executive,5,Above US$ 30086,Upto 5%,Television,4,2,6,Workers Reference,Less Than 1 Year,Low,5 to 6,Status
184,San Francisco,Men,Married,Early Working,Secondary,Top Executives,5,US$ 2736 to US$ 8205,16% to 20%,Magazine,3,10,2,Workers Reference,Above 9 Years,Low,Negative Return,Return
185,Houston,Men,Married,Prime Working,Primary,Training and Development Executive,5,US$ 13676 to US$ 19145,Don't Want to Reveal,Workers,9,8,5,Friends Reference,7 Years to 9 Years,High,10 to 12 ,Return
186,Memphis,Women,Never Married,Mature Working,Teritary,Top Executives,4,US$ 2735,6% to 10%,Flash Board,3,5,6,Workers Reference,Above 9 Years,High,1 to 4,Inflation
187,New York,Men,Never Married,Mature Working,Uneducated,Top Executives,4,US$ 24616 to US$ 30085,Don't Want to Reveal,Flash Board,1,3,2,Social Media,4 Years to 6 Years,High,Negative Return,Tax
188,San Francisco,Men,Never Married,Mature Working,Uneducated,Advertising and Promotion Executive,4,US$ 8206 to US$ 13675,11% to 15%,Flash Board,5,7,5,Family Reference,1 Year to 3 Years,High,1 to 4,Fun and Exitement
189,Houston,Women,Never Married,Children,Teritary,Training and Development Executive,2,US$ 13676 to US$ 19145,Above 26%,Friends,4,1,4,Others,Less Than 1 Year,Low,Negative Return,Return
190,Houston,Women,Married,Early Working,Middle,Marketing and Sales Executive,1,Above US$ 30086,Don't Want to Reveal,Friends,1,6,6,Friends Reference,Less Than 1 Year,Medium,1 to 4,Fun and Exitement
191,New York,Women,Married,Prime Working,Uneducated,Training and Development Executive,2,US$ 24616 to US$ 30085,21% to 25%,Television,8,3,6,Workers Reference,7 Years to 9 Years,Medium,7 to 9,Return
192,San Francisco,Men,Never Married,Prime Working,Secondary,Top Executives,1,US$ 2736 to US$ 8205,Above 26%,Others,3,2,5,Family Reference,Above 9 Years,Medium,10 to 12 ,Tax
193,Houston,Women,Married,Children,Secondary,Advertising and Promotion Executive,2,US$ 2736 to US$ 8205,16% to 20%,Flash Board,4,6,6,Others,Above 9 Years,Medium,1 to 4,Inflation
194,Memphis,Men,Never Married,Children,Middle,Marketing and Sales Executive,4,US$ 8206 to US$ 13675,6% to 10%,Family,4,10,2,Workers Reference,Less Than 1 Year,Medium,More than 13,Others
195,New York,Women,Never Married,Children,Primary,Marketing and Sales Executive,2,US$ 19146 to US$ 24615,Above 26%,Workers,9,8,3,Intermediaries,1 Year to 3 Years,Medium,1 to 4,Return
196,Houston,Women,Married,Prime Working,Secondary,Training and Development Executive,1,US$ 2736 to US$ 8205,21% to 25%,Others,5,6,1,Others,1 Year to 3 Years,Medium,1 to 4,Fun and Exitement
197,New York,Men,Never Married,Children,Secondary,Computer and Information System Executive,3,US$ 19146 to US$ 24615,Above 26%,Flash Board,9,10,5,Friends Reference,4 Years to 6 Years,Medium,7 to 9,Return
198,Memphis,Women,Never Married,Early Working,Uneducated,Training and Development Executive,2,US$ 13676 to US$ 19145,16% to 20%,Workers,6,4,5,Others,Above 9 Years,Medium,10 to 12 ,Inflation
199,New York,Women,Never Married,Mature Working,Teritary,Marketing and Sales Executive,2,US$ 2735,11% to 15%,Workers,1,8,1,Others,Less Than 1 Year,Medium,1 to 4,Others
200,San Francisco,Men,Never Married,Prime Working,Uneducated,Computer and Information System Executive,5,US$ 13676 to US$ 19145,Above 26%,Flash Board,2,6,2,Friends Reference,Above 9 Years,Low,7 to 9,Inflation
201,Seattle,Men,Married,Early Working,Middle,Training and Development Executive,5,Above US$ 30086,21% to 25%,Television,9,4,2,Family Reference,Above 9 Years,High,5 to 6,Fun and Exitement
202,New York,Women,Married,Mature Working,Middle,Top Executives,5,US$ 2736 to US$ 8205,11% to 15%,Others,2,4,3,Institutions,Less Than 1 Year,Medium,Negative Return,Tax
203,Seattle,Men,Married,Prime Working,Middle,Computer and Information System Executive,3,Above US$ 30086,11% to 15%,Magazine,1,6,1,Others,1 Year to 3 Years,Medium,5 to 6,Tax
204,Memphis,Women,Never Married,Prime Working,Middle,Top Executives,2,US$ 13676 to US$ 19145,Above 26%,Workers,6,6,1,Institutions,1 Year to 3 Years,Medium,Negative Return,Inflation
205,Memphis,Men,Never Married,Mature Working,Middle,Top Executives,5,US$ 8206 to US$ 13675,21% to 25%,Friends,2,4,3,Others,4 Years to 6 Years,Medium,5 to 6,Inflation
206,Memphis,Women,Married,Early Working,Teritary,Top Executives,3,US$ 2736 to US$ 8205,6% to 10%,Others,5,10,5,Intermediaries,4 Years to 6 Years,Medium,5 to 6,Tax
207,Houston,Men,Never Married,Prime Working,Secondary,Top Executives,1,US$ 24616 to US$ 30085,6% to 10%,Workers,5,5,3,Others,7 Years to 9 Years,High,More than 13,Status
208,New York,Women,Married,Children,Uneducated,Marketing and Sales Executive,2,US$ 13676 to US$ 19145,21% to 25%,Friends,2,8,4,Family Reference,7 Years to 9 Years,High,5 to 6,Others
209,New York,Women,Married,Elderly,Middle,Top Executives,4,US$ 2736 to US$ 8205,Upto 5%,Television,3,8,6,Family Reference,1 Year to 3 Years,High,10 to 12 ,Inflation
210,San Francisco,Women,Never Married,Mature Working,Primary,Marketing and Sales Executive,1,Above US$ 30086,6% to 10%,Family,3,2,1,Others,1 Year to 3 Years,Low,Negative Return,Fun and Exitement
211,Memphis,Women,Never Married,Children,Primary,Advertising and Promotion Executive,1,US$ 19146 to US$ 24615,11% to 15%,Family,6,8,4,Family Reference,Above 9 Years,High,Negative Return,Return
212,Houston,Men,Never Married,Children,Primary,Marketing and Sales Executive,1,US$ 2735,Don't Want to Reveal,Others,1,1,6,Institutions,7 Years to 9 Years,High,10 to 12 ,Tax
213,New York,Women,Married,Early Working,Uneducated,Computer and Information System Executive,5,US$ 8206 to US$ 13675,Upto 5%,Magazine,6,9,4,Intermediaries,4 Years to 6 Years,High,5 to 6,Tax
214,New York,Men,Married,Children,Uneducated,Training and Development Executive,1,US$ 13676 to US$ 19145,Upto 5%,Family,8,4,4,Others,Above 9 Years,Low,More than 13,Status
215,Seattle,Women,Married,Children,Teritary,Top Executives,1,US$ 8206 to US$ 13675,6% to 10%,Others,5,10,1,Others,Less Than 1 Year,High,More than 13,Tax
216,Seattle,Men,Never Married,Early Working,Secondary,Advertising and Promotion Executive,1,US$ 19146 to US$ 24615,16% to 20%,Flash Board,1,7,6,Family Reference,4 Years to 6 Years,High,1 to 4,Inflation
217,San Francisco,Men,Never Married,Children,Teritary,Marketing and Sales Executive,1,US$ 2735,16% to 20%,Magazine,8,1,3,Family Reference,4 Years to 6 Years,High,5 to 6,Inflation
218,Seattle,Women,Married,Early Working,Secondary,Training and Development Executive,1,US$ 19146 to US$ 24615,16% to 20%,Friends,9,8,5,Social Media,4 Years to 6 Years,Medium,7 to 9,Return
219,Houston,Women,Never Married,Mature Working,Teritary,Top Executives,2,US$ 2735,21% to 25%,Television,7,3,1,Workers Reference,4 Years to 6 Years,Low,1 to 4,Fun and Exitement
220,Memphis,Women,Married,Children,Uneducated,Computer and Information System Executive,4,US$ 13676 to US$ 19145,Upto 5%,Flash Board,7,6,1,Friends Reference,7 Years to 9 Years,Low,10 to 12 ,Return
221,Seattle,Men,Never Married,Elderly,Secondary,Top Executives,5,US$ 13676 to US$ 19145,21% to 25%,Family,9,10,2,Others,Less Than 1 Year,High,5 to 6,Status
222,Houston,Women,Never Married,Early Working,Secondary,Computer and Information System Executive,3,US$ 19146 to US$ 24615,16% to 20%,Workers,8,9,6,Institutions,7 Years to 9 Years,Medium,10 to 12 ,Inflation
223,New York,Women,Married,Elderly,Primary,Marketing and Sales Executive,5,US$ 2735,Upto 5%,Magazine,2,6,1,Workers Reference,Above 9 Years,Low,More than 13,Others
224,Houston,Men,Married,Prime Working,Teritary,Training and Development Executive,1,Above US$ 30086,Upto 5%,Flash Board,5,5,1,Friends Reference,Above 9 Years,Low,7 to 9,Status
225,Memphis,Women,Married,Prime Working,Teritary,Advertising and Promotion Executive,1,US$ 8206 to US$ 13675,16% to 20%,Magazine,9,6,1,Social Media,1 Year to 3 Years,High,1 to 4,Fun and Exitement
226,New York,Women,Never Married,Children,Middle,Training and Development Executive,2,US$ 2735,16% to 20%,Friends,1,2,5,Others,Less Than 1 Year,Medium,1 to 4,Return
227,Seattle,Women,Married,Mature Working,Teritary,Computer and Information System Executive,3,US$ 2735,11% to 15%,Flash Board,9,6,2,Social Media,4 Years to 6 Years,High,10 to 12 ,Tax
228,San Francisco,Women,Never Married,Mature Working,Primary,Training and Development Executive,4,US$ 24616 to US$ 30085,6% to 10%,Others,5,1,5,Institutions,Less Than 1 Year,Low,5 to 6,Status
229,Memphis,Men,Never Married,Children,Teritary,Training and Development Executive,3,US$ 2735,16% to 20%,Workers,6,3,3,Others,Above 9 Years,Medium,1 to 4,Fun and Exitement
230,New York,Women,Never Married,Elderly,Uneducated,Marketing and Sales Executive,2,US$ 24616 to US$ 30085,Above 26%,Magazine,7,9,6,Institutions,Less Than 1 Year,Medium,10 to 12 ,Status
231,Seattle,Men,Married,Mature Working,Primary,Top Executives,2,Above US$ 30086,Don't Want to Reveal,Television,1,7,5,Intermediaries,1 Year to 3 Years,Medium,5 to 6,Inflation
232,Seattle,Men,Never Married,Prime Working,Secondary,Marketing and Sales Executive,4,US$ 8206 to US$ 13675,Don't Want to Reveal,Family,5,6,4,Social Media,Less Than 1 Year,High,5 to 6,Status
233,Seattle,Women,Married,Early Working,Secondary,Training and Development Executive,3,US$ 2735,Don't Want to Reveal,Others,10,3,4,Workers Reference,Less Than 1 Year,Low,5 to 6,Return
234,Houston,Women,Married,Elderly,Teritary,Advertising and Promotion Executive,2,Above US$ 30086,11% to 15%,Family,9,6,2,Institutions,1 Year to 3 Years,Low,10 to 12 ,Status
235,Houston,Women,Married,Mature Working,Teritary,Advertising and Promotion Executive,4,US$ 8206 to US$ 13675,Don't Want to Reveal,Magazine,4,10,2,Family Reference,7 Years to 9 Years,Medium,Negative Return,Fun and Exitement
236,Seattle,Women,Never Married,Elderly,Uneducated,Advertising and Promotion Executive,2,US$ 2735,16% to 20%,Friends,9,2,3,Social Media,1 Year to 3 Years,Medium,7 to 9,Status
237,San Francisco,Men,Married,Early Working,Teritary,Marketing and Sales Executive,5,US$ 13676 to US$ 19145,Upto 5%,Workers,6,4,2,Friends Reference,7 Years to 9 Years,Medium,Negative Return,Others
238,Memphis,Women,Married,Elderly,Uneducated,Training and Development Executive,4,US$ 2736 to US$ 8205,Above 26%,Friends,9,2,5,Others,1 Year to 3 Years,Low,7 to 9,Status
239,Seattle,Women,Never Married,Mature Working,Middle,Top Executives,4,US$ 2735,Don't Want to Reveal,Workers,2,3,3,Friends Reference,1 Year to 3 Years,High,5 to 6,Inflation
240,Houston,Men,Never Married,Prime Working,Uneducated,Marketing and Sales Executive,1,Above US$ 30086,11% to 15%,Flash Board,2,9,3,Friends Reference,Less Than 1 Year,High,5 to 6,Tax
241,San Francisco,Men,Never Married,Mature Working,Uneducated,Top Executives,2,US$ 19146 to US$ 24615,Above 26%,Friends,9,3,2,Social Media,7 Years to 9 Years,High,More than 13,Return
242,Houston,Men,Married,Mature Working,Primary,Computer and Information System Executive,2,US$ 24616 to US$ 30085,16% to 20%,Workers,1,2,6,Family Reference,Above 9 Years,Low,10 to 12 ,Tax
243,San Francisco,Women,Never Married,Children,Primary,Computer and Information System Executive,3,US$ 19146 to US$ 24615,21% to 25%,Workers,6,8,1,Workers Reference,4 Years to 6 Years,Medium,Negative Return,Fun and Exitement
244,Memphis,Men,Married,Early Working,Uneducated,Top Executives,3,US$ 2736 to US$ 8205,Upto 5%,Magazine,3,10,1,Workers Reference,7 Years to 9 Years,High,7 to 9,Status
245,Houston,Women,Married,Children,Primary,Advertising and Promotion Executive,1,US$ 13676 to US$ 19145,Upto 5%,Flash Board,5,7,3,Intermediaries,7 Years to 9 Years,Medium,5 to 6,Status
246,Memphis,Women,Married,Mature Working,Teritary,Training and Development Executive,4,US$ 19146 to US$ 24615,21% to 25%,Television,5,5,2,Institutions,Above 9 Years,High,5 to 6,Fun and Exitement
247,New York,Women,Married,Elderly,Teritary,Advertising and Promotion Executive,1,US$ 19146 to US$ 24615,Upto 5%,Workers,5,8,6,Friends Reference,Above 9 Years,Low,5 to 6,Inflation
248,Memphis,Men,Never Married,Early Working,Teritary,Top Executives,2,US$ 13676 to US$ 19145,Above 26%,Workers,9,5,4,Family Reference,7 Years to 9 Years,High,1 to 4,Inflation
249,New York,Women,Never Married,Children,Secondary,Training and Development Executive,4,US$ 8206 to US$ 13675,Above 26%,Magazine,4,2,2,Intermediaries,Above 9 Years,Medium,5 to 6,Fun and Exitement
250,Memphis,Men,Never Married,Early Working,Middle,Advertising and Promotion Executive,5,Above US$ 30086,Above 26%,Friends,5,1,5,Institutions,Above 9 Years,High,More than 13,Status
251,Memphis,Women,Married,Children,Uneducated,Computer and Information System Executive,1,Above US$ 30086,16% to 20%,Television,5,4,2,Intermediaries,4 Years to 6 Years,Low,10 to 12 ,Return
252,San Francisco,Women,Married,Children,Teritary,Computer and Information System Executive,5,US$ 19146 to US$ 24615,Don't Want to Reveal,Flash Board,10,3,1,Friends Reference,Above 9 Years,High,1 to 4,Status
253,Houston,Women,Never Married,Mature Working,Uneducated,Advertising and Promotion Executive,1,US$ 24616 to US$ 30085,21% to 25%,Others,8,4,3,Others,1 Year to 3 Years,High,More than 13,Status
254,Houston,Men,Married,Prime Working,Primary,Top Executives,2,US$ 2736 to US$ 8205,Don't Want to Reveal,Others,1,9,5,Family Reference,Above 9 Years,Medium,More than 13,Return
255,Memphis,Men,Married,Children,Primary,Advertising and Promotion Executive,1,Above US$ 30086,16% to 20%,Others,3,9,1,Social Media,Less Than 1 Year,High,10 to 12 ,Others
256,Houston,Men,Married,Elderly,Secondary,Top Executives,3,US$ 2735,6% to 10%,Friends,9,2,1,Workers Reference,Less Than 1 Year,Low,5 to 6,Fun and Exitement
257,Houston,Women,Married,Mature Working,Teritary,Computer and Information System Executive,2,US$ 24616 to US$ 30085,Don't Want to Reveal,Television,2,6,3,Workers Reference,Above 9 Years,Low,5 to 6,Others
258,Memphis,Men,Never Married,Children,Uneducated,Training and Development Executive,3,US$ 2735,21% to 25%,Family,10,4,2,Social Media,1 Year to 3 Years,Medium,10 to 12 ,Fun and Exitement
259,Seattle,Women,Married,Children,Middle,Advertising and Promotion Executive,4,US$ 2735,6% to 10%,Television,4,9,5,Institutions,1 Year to 3 Years,High,1 to 4,Tax
260,Houston,Women,Married,Elderly,Secondary,Training and Development Executive,3,US$ 24616 to US$ 30085,Above 26%,Others,9,8,1,Social Media,4 Years to 6 Years,High,Negative Return,Others
261,Houston,Men,Never Married,Mature Working,Middle,Top Executives,3,US$ 8206 to US$ 13675,6% to 10%,Television,1,5,6,Institutions,4 Years to 6 Years,Low,5 to 6,Tax
262,Memphis,Men,Never Married,Mature Working,Uneducated,Training and Development Executive,1,US$ 2735,6% to 10%,Family,1,3,5,Social Media,4 Years to 6 Years,High,More than 13,Inflation
263,New York,Women,Married,Early Working,Middle,Marketing and Sales Executive,5,US$ 2735,6% to 10%,Family,10,1,6,Intermediaries,Less Than 1 Year,Low,Negative Return,Fun and Exitement
264,Seattle,Women,Never Married,Elderly,Teritary,Computer and Information System Executive,4,US$ 2735,Don't Want to Reveal,Family,2,2,4,Intermediaries,4 Years to 6 Years,Medium,Negative Return,Return
265,Seattle,Men,Married,Prime Working,Middle,Training and Development Executive,1,US$ 24616 to US$ 30085,Upto 5%,Workers,9,5,2,Social Media,7 Years to 9 Years,High,More than 13,Tax
266,Seattle,Women,Never Married,Elderly,Teritary,Top Executives,2,US$ 2736 to US$ 8205,6% to 10%,Television,3,1,5,Family Reference,Less Than 1 Year,Medium,5 to 6,Others
267,New York,Women,Never Married,Early Working,Uneducated,Training and Development Executive,3,US$ 13676 to US$ 19145,21% to 25%,Workers,7,7,1,Family Reference,Less Than 1 Year,High,Negative Return,Fun and Exitement
268,Memphis,Men,Never Married,Prime Working,Uneducated,Top Executives,4,US$ 8206 to US$ 13675,21% to 25%,Flash Board,10,2,5,Intermediaries,4 Years to 6 Years,Low,7 to 9,Fun and Exitement
269,Houston,Men,Married,Prime Working,Primary,Computer and Information System Executive,2,US$ 2736 to US$ 8205,Upto 5%,Friends,8,1,6,Social Media,7 Years to 9 Years,Low,1 to 4,Inflation
270,Houston,Men,Never Married,Early Working,Primary,Training and Development Executive,1,Above US$ 30086,Upto 5%,Flash Board,2,7,2,Social Media,7 Years to 9 Years,Low,10 to 12 ,Others
271,Memphis,Men,Married,Elderly,Secondary,Marketing and Sales Executive,3,US$ 19146 to US$ 24615,Don't Want to Reveal,Family,8,1,3,Family Reference,4 Years to 6 Years,Low,5 to 6,Inflation
272,San Francisco,Women,Never Married,Mature Working,Primary,Training and Development Executive,4,US$ 19146 to US$ 24615,16% to 20%,Television,3,8,3,Workers Reference,1 Year to 3 Years,Medium,5 to 6,Fun and Exitement
273,Seattle,Men,Never Married,Elderly,Middle,Top Executives,5,US$ 24616 to US$ 30085,6% to 10%,Television,6,2,6,Social Media,Less Than 1 Year,Low,More than 13,Others
274,Memphis,Women,Never Married,Prime Working,Middle,Training and Development Executive,4,US$ 13676 to US$ 19145,Upto 5%,Friends,6,6,2,Friends Reference,7 Years to 9 Years,High,Negative Return,Tax
275,New York,Men,Married,Mature Working,Primary,Computer and Information System Executive,3,US$ 19146 to US$ 24615,Above 26%,Workers,9,8,3,Others,Above 9 Years,High,10 to 12 ,Others
276,Memphis,Men,Married,Children,Primary,Top Executives,4,US$ 2735,Above 26%,Television,5,6,3,Social Media,Less Than 1 Year,Medium,5 to 6,Tax
277,Seattle,Women,Married,Early Working,Primary,Computer and Information System Executive,5,US$ 19146 to US$ 24615,6% to 10%,Television,3,6,5,Others,7 Years to 9 Years,Low,Negative Return,Inflation
278,Houston,Men,Never Married,Children,Primary,Top Executives,3,Above US$ 30086,6% to 10%,Family,7,7,5,Family Reference,Less Than 1 Year,Low,5 to 6,Status
279,Houston,Women,Never Married,Elderly,Secondary,Top Executives,5,US$ 2736 to US$ 8205,Upto 5%,Family,10,4,3,Intermediaries,Above 9 Years,Low,5 to 6,Fun and Exitement
280,Houston,Men,Never Married,Early Working,Middle,Advertising and Promotion Executive,4,US$ 2735,16% to 20%,Television,6,3,4,Social Media,7 Years to 9 Years,High,5 to 6,Tax
281,San Francisco,Men,Married,Children,Middle,Computer and Information System Executive,5,US$ 2736 to US$ 8205,Upto 5%,Family,6,8,1,Friends Reference,1 Year to 3 Years,Low,10 to 12 ,Fun and Exitement
282,Houston,Women,Married,Mature Working,Middle,Top Executives,5,US$ 2736 to US$ 8205,21% to 25%,Television,2,3,4,Social Media,4 Years to 6 Years,Medium,10 to 12 ,Fun and Exitement
283,Houston,Women,Never Married,Children,Middle,Marketing and Sales Executive,2,US$ 2736 to US$ 8205,21% to 25%,Others,1,10,3,Friends Reference,1 Year to 3 Years,High,1 to 4,Inflation
284,New York,Women,Married,Prime Working,Uneducated,Top Executives,2,US$ 2736 to US$ 8205,Upto 5%,Workers,2,10,5,Intermediaries,1 Year to 3 Years,Low,10 to 12 ,Tax
285,Houston,Men,Never Married,Prime Working,Uneducated,Computer and Information System Executive,1,US$ 19146 to US$ 24615,11% to 15%,Television,7,9,4,Others,7 Years to 9 Years,High,More than 13,Inflation
286,Houston,Women,Married,Prime Working,Primary,Advertising and Promotion Executive,5,US$ 2736 to US$ 8205,Above 26%,Flash Board,5,1,6,Workers Reference,Above 9 Years,High,7 to 9,Others
287,Seattle,Women,Married,Elderly,Middle,Training and Development Executive,3,US$ 19146 to US$ 24615,Upto 5%,Workers,4,6,5,Friends Reference,Less Than 1 Year,High,Negative Return,Fun and Exitement
288,Memphis,Women,Never Married,Elderly,Middle,Computer and Information System Executive,1,US$ 2735,Above 26%,Flash Board,3,3,5,Intermediaries,7 Years to 9 Years,Low,7 to 9,Others
289,New York,Men,Married,Mature Working,Middle,Training and Development Executive,1,US$ 8206 to US$ 13675,Don't Want to Reveal,Flash Board,9,6,2,Others,4 Years to 6 Years,Low,More than 13,Tax
